MarketID,eq_price,eq_quantity,optimalconsumersurplus,optimalproducersurplus,optimal_surplus,Number_players,default,mean_experience_robot,mean_experience_nonrobot,Quantity,ConsumerSurplus,ProducerSurplus,surplus,efficiency
1001,103,17,894,665,1559,25,0,0.0,0.0,17,1056,167,1223,0.784477229
2001,66,12,156,288,444,15,0,0.0,0.8666667,15,65,225,290,0.653153153
2002,66,12,156,288,444,15,0,0.0,0.46666667,22,-206,260,54,0.121621622
2003,64,2,38,56,94,2,0,0.0,1.0,2,26,68,94,1.0
3001,112,13,260,416,676,10,1,0.0,0.0,12,354,283,637,0.942307692
3002,112,13,260,416,676,10,1,0.0,0.0,11,94,463,557,0.823964497
3003,112,13,260,416,676,10,1,0.0,0.0,13,304,359,663,0.980769231
3004,112,13,260,416,676,10,1,0.0,0.0,15,191,469,660,0.976331361
3005,112,13,260,416,676,10,1,0.0,0.0,12,429,228,657,0.971893491
4001,109,14,301,560,861,10,0,0.0,0.4,14,506,346,852,0.989547038
4002,109,14,301,560,861,10,0,0.0,0.0,14,193,650,843,0.979094077
4003,109,14,301,560,861,10,0,0.0,0.0,12,119,670,789,0.916376307
4004,109,14,301,560,861,10,0,0.0,0.0,12,222,603,825,0.958188153
4005,109,14,301,560,861,10,0,0.0,0.0,13,-219,1005,786,0.912891986
4006,109,14,301,560,861,10,0,0.0,0.0,15,-15,870,855,0.993031359
5001,120,26,650,650,1300,20,0,0.2,0.8,25,456,790,1246,0.958461538
5001,120,26,650,650,1300,20,0,0.2,1.8,25,347,891,1238,0.952307692
5001,120,26,650,650,1300,20,0,0.2,2.8,27,477,755,1232,0.947692308
6001,65,13,780,390,1170,10,0,0.2,4.3,12,264,856,1120,0.957264957
6001,65,13,780,390,1170,10,0,0.2,5.3,10,303,732,1035,0.884615385
6002,65,13,780,390,1170,10,0,0.3,4.2,11,585,520,1105,0.944444444
6002,65,13,780,390,1170,10,0,0.3,5.2,12,306,664,970,0.829059829
6003,65,13,780,390,1170,10,0,0.4,4.6,12,705,395,1100,0.94017094
6003,65,13,780,390,1170,10,0,0.4,5.6,11,543,367,910,0.777777778
7001,550,6,1545,1545,3090,20,0,0.0,0.0,7,-533,3214,2681,0.86763754
7002,550,6,1545,1545,3090,20,0,0.0,0.0,8,1131,1526,2657,0.85987055
7003,550,6,1545,1545,3090,20,0,0.0,0.4,7,2586,-136,2450,0.792880259
7004,550,6,1545,1545,3090,20,0,0.0,0.0,7,867,1814,2681,0.86763754
7005,550,6,1545,1545,3090,20,0,0.0,0.0,8,822,1604,2426,0.785113269
7006,550,6,1545,1545,3090,20,0,0.0,0.15,7,1174,1507,2681,0.86763754
7007,550,6,1545,1545,3090,20,0,0.0,0.0,7,1085,1904,2989,0.967313916
7008,550,6,1545,1545,3090,20,0,0.0,0.0,7,304,1299,1603,0.518770227
7009,550,6,1545,1545,3090,20,0,0.0,0.15,5,1637,861,2498,0.808414239
7010,550,6,1545,1545,3090,20,0,0.0,0.2,8,589,1683,2272,0.735275081
7011,550,6,1545,1545,3090,16,0,0.0,0.25,5,491,1622,2113,0.68381877
9001,65,13,780,390,1170,10,0,0.5,3.1,6,299,361,660,0.564102564
9001,65,13,780,390,1170,10,0,0.5,4.1,6,363,372,735,0.628205128
9002,65,13,780,390,1170,10,0,0.2,3.4,14,284,851,1135,0.97008547
9002,65,13,780,390,1170,10,0,0.2,4.4,12,317,833,1150,0.982905983
9003,65,13,780,390,1170,10,0,0.0,4.0,9,142,763,905,0.773504274
9003,65,13,780,390,1170,10,0,0.0,5.0,8,336,584,920,0.786324786
10001,126,4,50,254,304,10,0,0.0,4.5,8,17,-703,-686,-2.256578947
10002,126,4,50,254,304,10,0,0.0,4.5,9,-529,252,-277,-0.911184211
10003,126,4,50,254,304,10,0,0.0,4.1,10,-143,-326,-469,-1.542763158
10004,126,4,50,254,304,10,0,0.0,5.2,5,41,36,77,0.253289474
10005,126,4,50,254,304,10,0,0.0,5.0,6,-264,379,115,0.378289474
10006,126,4,50,254,304,10,0,0.0,4.7,7,-379,486,107,0.351973684
12001,123,14,196,378,574,12,0,0.0,0.0,14,228,312,540,0.940766551
12002,123,14,196,378,574,12,0,0.0,1.0833334,13,261,261,522,0.909407666
14001,78,13,312,156,468,10,0,0.3,3.7,12,268,182,450,0.961538462
14001,78,13,312,156,468,10,0,0.3,4.7,12,229,193,422,0.901709402
14002,78,13,312,156,468,10,0,0.6,3.4,11,290,158,448,0.957264957
14002,78,13,312,156,468,10,0,0.6,4.4,12,316,128,444,0.948717949
14003,78,13,312,156,468,10,0,0.3,3.7,13,145,277,422,0.901709402
14003,78,13,312,156,468,10,0,0.3,4.7,14,143,299,442,0.944444444
15001,175,3,225,225,450,10,0,0.0,1.6,1,36,64,100,0.222222222
15002,175,3,225,225,450,10,0,0.0,1.6,3,191,59,250,0.555555556
15003,175,3,225,225,450,10,0,0.0,1.6,3,26,274,300,0.666666667
15004,175,3,225,225,450,6,0,0.0,1.3333334,2,262,138,400,0.888888889
16001,117,9,153,261,414,10,0,0.0,0.0,11,129,174,303,0.731884058
16002,117,9,153,261,414,10,0,0.0,0.1,9,-162,468,306,0.739130435
16003,117,9,153,261,414,10,0,0.0,0.0,12,-20,321,301,0.72705314
16004,117,9,153,261,414,10,0,0.0,0.1,8,-265,556,291,0.702898551
16005,117,9,153,261,414,10,0,0.0,0.0,11,171,183,354,0.855072464
16006,117,9,153,261,414,10,0,0.0,0.1,9,-8,313,305,0.736714976
16007,117,9,153,261,414,10,0,0.0,0.0,12,259,11,270,0.652173913
16008,115,6,126,183,309,6,0,0.0,0.0,5,22,204,226,0.731391586
18001,112,13,260,416,676,10,1,0.0,0.0,11,354,281,635,0.939349112
18001,112,13,260,416,676,10,1,0.0,1.0,12,325,320,645,0.954142012
18002,112,13,260,416,676,10,1,0.0,0.0,12,403,224,627,0.927514793
18002,112,13,260,416,676,10,1,0.0,1.0,12,412,248,660,0.976331361
18003,112,13,260,416,676,10,1,0.0,0.0,8,164,310,474,0.701183432
18003,112,13,260,416,676,10,1,0.0,1.0,12,384,202,586,0.866863905
21001,112,13,260,416,676,10,1,0.0,0.0,10,122,438,560,0.828402367
21001,112,13,260,416,676,10,1,0.0,1.0,15,317,343,660,0.976331361
21001,112,13,260,416,676,10,1,0.0,2.0,12,174,438,612,0.905325444
21002,112,13,260,416,676,10,1,0.0,0.0,12,-409,1042,633,0.936390533
21002,112,13,260,416,676,10,1,0.0,1.0,13,67,593,660,0.976331361
21002,112,13,260,416,676,10,1,0.0,2.0,13,84,563,647,0.957100592
22001,112,13,260,416,676,10,1,0.2,2.8,15,409,251,660,0.976331361
22002,112,13,260,416,676,10,1,0.0,2.7,12,615,-45,570,0.843195266
22003,112,13,260,416,676,10,1,0.0,3.0,14,114,555,669,0.98964497
22004,112,13,260,416,676,10,1,0.2,2.8,12,96,537,633,0.936390533
23001,110,21,420,630,1050,16,0,0.0,0.0,24,39,981,1020,0.971428571
24001,116,17,306,578,884,12,0,0.0,0.0,15,288,564,852,0.963800905
25001,100,44,1254,1254,2508,23,0,0.0,0.0,36,1183,939,2122,0.846092504
28001,112,13,260,416,676,10,1,0.0,0.0,8,-34,485,451,0.667159763
28002,112,13,260,416,676,10,1,0.0,0.0,8,611,-128,483,0.714497041
28003,112,13,260,416,676,10,1,0.0,0.0,10,249,272,521,0.770710059
29001,112,13,260,416,676,10,1,0.0,0.0,13,288,375,663,0.980769231
29002,112,13,260,416,676,10,1,0.0,0.0,9,167,357,524,0.775147929
29003,112,13,260,416,676,10,1,0.0,0.0,11,276,366,642,0.949704142
29004,112,13,260,416,676,10,1,0.0,0.0,11,216,419,635,0.939349112
29005,112,13,260,416,676,10,1,0.0,0.0,10,211,375,586,0.866863905
30001,96,7,198,169,367,15,0,0.0,0.0,7,483,-123,360,0.980926431
31001,520,54,13041,13041,26082,20,0,0.0,0.7,65,13698,5214,18912,0.725097769
31002,520,18,4428,4428,8856,6,0,0.0,3.0,18,5723,2818,8541,0.964430894
32001,96,10,155,235,390,10,0,0.0,0.0,11,107,252,359,0.920512821
32001,96,10,155,235,390,10,0,0.0,1.0,9,163,95,258,0.661538462
32002,96,10,155,235,390,10,0,0.0,0.0,8,180,145,325,0.833333333
32002,96,10,155,235,390,10,0,0.0,1.0,9,221,123,344,0.882051282
32003,96,10,155,235,390,10,0,0.0,0.0,5,147,71,218,0.558974359
32003,96,10,155,235,390,10,0,0.0,1.0,6,138,111,249,0.638461538
32004,96,10,155,235,390,10,0,0.0,0.0,10,147,219,366,0.938461538
32004,96,10,155,235,390,10,0,0.0,1.0,7,162,149,311,0.797435897
33001,406,2,708,359,1067,7,0,0.0,0.0,2,519,336,855,0.80131209
33001,406,2,708,359,1067,7,0,7.571429,6.857143,3,516,405,921,0.86316776
33001,406,2,708,359,1067,7,0,7.571429,7.857143,3,583,285,868,0.813495783
33001,406,2,708,359,1067,7,0,7.571429,8.857142,3,847,74,921,0.86316776
