SessionID,location_label,type_label,fund_label,class_label,time_label
1,102,1,2,1,2
2,103,1,2,2,2
3,200,1,2,1,2
4,104,1,2,2,2
5,104,1,2,8,1
6,200,1,2,1,2
7,104,1,2,1,2
9,200,1,2,1,2
10,104,1,2,2,1
12,103,2,1,1,2
14,102,1,1,1,2
15,502,1,2,4,2
16,102,1,2,1,2
18,200,1,2,1,2
21,103,2,2,1,2
22,104,2,1,1,2
23,104,1,2,1,2
24,104,1,2,1,2
25,501,1,2,2,2
28,405,1,2,1,2
29,104,2,1,1,2
30,402,4,1,4,2
31,104,1,1,8,2
32,103,1,2,1,2
33,502,1,2,4,2
35,103,1,2,1,2
39,103,2,1,1,2
40,405,1,2,6,1
41,200,1,2,1,2
42,103,1,2,1,2
43,103,1,2,8,2
46,103,1,1,1,1
47,103,2,1,1,2
48,200,1,2,1,2
49,103,2,1,2,2
50,103,1,1,1,2
51,103,2,2,1,2
53,405,1,2,1,2
54,104,1,1,1,2
57,405,1,2,5,2
60,104,1,1,8,2
63,200,1,2,1,2
65,101,1,1,5,1
67,103,1,1,1,2
69,104,1,2,8,1
71,200,1,2,1,1
72,200,1,2,1,2
73,104,1,1,8,1
74,104,1,2,1,2
75,101,1,2,3,2
76,200,1,2,1,2
77,104,1,2,2,2
78,405,1,2,3,1
80,101,2,1,8,2
81,200,1,2,1,2
83,200,1,2,1,2
85,103,1,2,1,2
86,102,1,2,1,1
87,104,1,2,5,2
88,103,2,2,1,2
93,104,1,2,1,2
96,103,1,2,5,1
97,200,1,2,1,2
98,501,1,2,5,2
99,104,1,2,2,2
101,101,1,1,5,2
102,104,2,1,1,2
105,103,1,1,1,2
106,502,1,2,4,2
108,103,1,2,1,2
110,405,1,2,1,2
111,104,1,1,8,1
112,104,1,1,1,2
113,103,1,2,6,1
115,102,1,1,2,2
116,103,1,1,1,2
117,104,1,1,1,2
118,200,1,2,2,2
119,200,1,2,1,2
120,103,1,2,1,2
122,102,1,1,5,2
124,200,1,2,1,2
125,104,1,2,4,2
126,102,1,2,1,2
127,103,2,1,2,2
129,103,1,2,1,2
130,103,1,2,1,2
131,200,1,2,1,2
133,200,1,2,1,2
137,102,1,2,8,2
138,103,1,2,1,2
140,104,1,1,2,2
142,103,2,1,2,2
144,104,1,2,3,2
145,101,1,2,4,2
146,103,1,2,1,2
148,101,1,1,1,2
150,104,1,2,4,2
151,102,1,2,1,2
155,101,1,1,1,2
156,200,1,2,1,2
158,103,1,2,1,2
159,103,3,2,3,2
160,103,1,1,8,2
161,104,1,1,1,2
162,104,1,1,8,1
163,405,1,2,5,1
164,200,1,2,1,2
167,104,1,1,3,2
170,104,1,2,3,2
171,104,1,2,2,2
172,103,2,1,2,2
173,103,1,1,1,2
175,104,1,1,1,2
176,200,1,2,1,2
177,102,1,1,2,2
178,200,1,2,1,2
179,103,2,1,1,2
180,101,2,1,2,2
181,104,1,2,8,2
184,103,2,1,1,2
185,200,1,2,5,2
186,102,1,2,1,2
187,200,1,2,1,2
190,104,1,2,1,1
192,103,1,2,1,2
194,104,1,2,8,2
196,103,2,1,8,1
197,104,1,2,1,2
198,200,1,2,1,2
199,104,1,1,1,2
200,200,1,2,1,2
201,104,1,1,1,2
202,103,1,2,8,2
203,103,1,2,1,2
205,104,1,1,8,2
206,405,4,1,8,2
207,103,1,1,1,2
208,103,3,2,3,2
210,405,1,2,5,2
211,200,1,2,1,2
216,102,1,2,1,2
217,104,1,2,1,2
218,104,1,2,4,2
220,103,1,2,1,2
222,102,1,2,1,1
224,104,1,2,1,2
225,200,1,2,1,1
226,103,1,1,1,2
228,104,1,2,3,2
229,200,1,2,1,2
230,104,1,1,1,2
232,101,1,2,2,2
233,104,4,1,1,2
234,103,1,2,1,2
235,103,1,2,8,1
236,102,1,2,1,2
238,102,4,2,8,2
239,103,1,2,1,1
240,103,1,2,1,2
241,200,1,2,1,2
242,501,1,2,5,2
243,103,1,1,1,2
244,103,1,1,1,2
246,104,1,2,1,1
250,200,1,2,1,2
252,103,2,2,1,2
